timestamp,speed,category
25870,294,0
25871,296,0
25872,301,1
25873,325,1
25874,346,1
25875,347,1
25876,345,1
25877,338,1
25878,352,1
25879,386,1
25880,381,1
25881,392,1
25882,385,1
25883,377,1
25884,373,1
25885,377,1
25886,390,1
25887,456,1
25888,464,1
25889,493,1
25890,524,2
25891,544,2
25892,590,2
25893,587,2
25894,581,2
25895,585,2
25896,600,2
25897,579,2
25898,576,2
25899,569,2
25900,558,2
25901,527,2
25902,494,1
25903,481,1
25904,469,1
25905,473,1
25906,484,1
25907,477,1
25908,477,1
25909,488,1
25910,498,1
25911,492,1
25912,492,1
25913,492,1
25914,483,1
25915,462,1
25916,460,1
25917,454,1
25918,446,1
25919,447,1
25920,448,1
25921,457,1
25922,451,1
25923,463,1
25924,471,1
25925,461,1
25926,468,1
25927,489,1
25928,501,2
25929,480,1
25930,439,1
25931,438,1
25932,440,1
25933,433,1
25934,432,1
25935,437,1
25936,428,1
25937,416,1
25938,420,1
25939,414,1
25940,424,1
25941,416,1
25942,424,1
25943,411,1
25944,413,1
25945,410,1
25946,435,1
25947,431,1
25948,429,1
25949,427,1
25950,421,1
25951,416,1
25952,405,1
25953,399,1
25954,404,1
25955,394,1
25956,393,1
25957,386,1
25958,386,1
25959,393,1
25960,397,1
25961,392,1
25962,386,1
25963,388,1
25964,384,1
25965,387,1
25966,396,1
25967,378,1
25968,377,1
25969,382,1
25970,377,1
25971,368,1
25972,361,1
25973,371,1
25974,361,1
25975,352,1
25976,346,1
25977,344,1
25978,350,1
